instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
35,0.09091984203110726,0.08532828487171229,0.016064257028112428,0.8409090909090908,0.0,0.9651567944250871,0.8162810484312295,0.0,0.30431549494035737,0.8333333333333334,0.8888888888888888,0.9860627177700348,0.1,0.01067304553352431,0.0032063469894599347,0.6115954648692685,0.01587535088589175,0.0033748395993452047,0.3938335676184238,0.023035306978148613
36,0.02667902987855142,0.021126713807835706,0.0035087719298245723,0.8636363636363635,0.0,0.9879310344827587,0.8191944296432784,0.0,0.3845627476590586,0.3333333333333333,0.3333333333333333,0.996551724137931,0.1,0.009065171089592159,0.0018170910954842287,0.9477673638897335,0.009917123964943063,0.004039629210984056,0.7304586560449409,0.02464285486885493
37,0.09140306358314876,0.08558739066143162,0.016064257028112428,0.8636363636363635,0.0,0.9895470383275261,0.8616191110093466,0.0,0.44572921980400193,0.8333333333333334,0.8888888888888888,0.9860627177700348,0.1,0.01067304553352431,0.0017134318385095472,0.6799209934879981,0.015875350885854976,0.0035612023362697302,0.313684004886582,0.02841265341938392
38,0.9580072105814543,0.9131116791957012,0.016064257028112428,0.8863636363636365,0.0,0.9860627177700348,0.9136316670786963,0.0,0.40008304736050815,0.8333333333333334,0.8888888888888888,0.9790940766550522,0.3,0.008790605363686364,0.021629130714419874,1.2342935509084745,0.019166733303430182,0.003967640687097802,0.6215758187806056,0.03716190309283159
39,0.8989120258174311,0.8928745435146554,0.016064257028112428,0.9090909090909092,0.004934210526315789,0.9895470383275261,0.9581615109505499,0.3333333333333333,0.2840140886924464,0.8333333333333334,0.8888888888888888,0.9825783972125436,0.6,0.009387135606255415,0.06969451269787877,0.8018379217077825,0.48860534907831743,0.004833066079200879,1.2476230299394826,3.437497260750031
40,0.047086842288051156,0.03759470289132372,0.0035087719298245723,0.8636363636363635,0.0013063357282821686,0.9982758620689656,0.9121587648691794,0.6666666666666666,0.5325711681861198,0.3333333333333333,0.3333333333333333,0.996551724137931,0.5,0.00794012509887992,0.006250477408201522,0.9220111479748814,0.36499011200414644,0.004002199634917406,0.7297749176969713,0.02503351090944756
41,0.029014946036794886,0.02248336255788813,0.0035087719298245723,0.8863636363636364,0.0006531678641410843,0.9948275862068966,0.915419856508139,0.4,0.2581798638042718,0.3333333333333333,0.3333333333333333,0.9775862068965517,0.3,0.009065171089592159,0.0017801662302862724,0.9186325841369759,0.009917003294865152,0.003507249671433171,0.8313629556840096,0.02998748620023528
42,0.09027274252626505,0.08468107123504004,0.016064257028112428,0.8409090909090908,0.0,0.9860627177700348,0.8223169241229158,0.0,0.2267786246395942,0.8333333333333334,0.8888888888888888,0.9895470383275261,0.2,0.008018175346328897,0.0040486189704774505,0.5408542288440863,0.01891334512737575,0.0033741008328178335,0.20988056193442622,0.0037215665987434315
43,0.0939332477033974,0.08833877205663843,0.016064257028112428,0.9090909090909092,0.0005482456140350877,0.9930313588850174,0.8710415534916511,0.0,0.4901718693824654,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.6,0.012619648926022553,0.007625723194877218,0.6914299962938969,0.01831739073963485,0.004811159030624464,1.3724648180188406,0.0421260357539439
44,0.09512078089093035,0.08952308313306945,0.016064257028112428,0.8636363636363635,0.0005482456140350877,0.9860627177700348,0.9148883529670742,0.5,0.43908346404223864,0.8333333333333334,0.8888888888888888,1.0,0.4,0.009387135606255415,0.005655583584483248,0.6525317027008064,0.01831513122416591,0.003322111407114352,0.8671627880810049,0.050759521823404485
45,0.09351718354274441,0.08792584424519345,0.016064257028112428,0.8863636363636365,0.0005482456140350877,0.9965156794425087,0.904755725614265,1.0,0.6656230539601109,0.8333333333333334,0.8888888888888888,1.0,0.4,0.050222523892084495,0.0034226524827394465,0.6233087945371489,4.0482516732281075,0.0063510416196427616,0.6077362069670197,3.812999965546831
46,0.028867539407817278,0.023317721794560653,0.0035087719298245723,0.8863636363636364,0.0013063357282821686,0.996551724137931,0.9035395538321963,0.4,0.38283420892736597,0.3333333333333333,0.3333333333333333,0.9879310344827587,0.2,0.006012989789561848,0.0035696210272705715,0.958630639230558,0.012835592245982535,0.003239302224877466,0.9569855152321027,0.026730177617958074
47,0.09045597191899846,0.08486354839100446,0.016064257028112428,0.8863636363636364,0.0,0.9930313588850174,0.8965059737696384,0.0,0.06256260462368002,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.9,0.009430017680903978,0.00191950695369299,0.5640270566170418,0.016027687604148078,0.00393008870071484,1.149032273648248,0.016889004654992722
48,0.11311387333000023,0.1074964159021497,0.016064257028112428,0.9090909090909092,0.0005482456140350877,0.9930313588850174,0.904075495973931,0.5,0.06673790157321935,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.9,0.01067304553352431,0.0018280437009786249,0.6585552692142094,0.015875351095999638,0.003789064653993308,1.3029215099994598,0.04138400982365101
49,0.09035121305749316,0.08475960479628897,0.016064257028112428,0.9090909090909091,0.001644736842105263,0.9965156794425087,0.9183491034674842,0.5,0.5386463193287319,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.5,0.008018175346328897,0.005150109230468264,0.6125978261567605,0.018913345151253258,0.003744117594503803,0.405106331656992,0.017470940176101898
50,0.09029886441290869,0.08470220425217484,0.016064257028112428,0.8636363636363635,0.0,0.9895470383275261,0.9052714612139704,0.0,0.48142472370535794,0.8333333333333334,0.8888888888888888,0.9895470383275261,0.2,0.009430017680903978,0.0019088272199817517,0.5803205193208103,0.016027687604147967,0.003456691559488679,0.5588448535521641,0.03971875445130778
