instances,instance_hardness
599,0.12828819380836076
600,0.1419817290479617
601,0.14265859982600437
602,0.13590763705084874
603,0.1357576496874654
604,0.14441943487106956
605,0.1310899719766001
606,0.1199924012457021
607,0.15146057058674178
608,0.14258616190311957
609,0.13605746329798607
610,0.13142651107519565
611,0.10240296380856839
612,0.12375777903031737
613,0.13780126930849768
614,0.1224509135101508
615,0.1305060095856705
616,0.1255390542779553
617,0.2552877029835594
618,0.11797594496879504
619,0.10316072136027388
620,0.12464431203338866
621,0.13968278331017547
622,0.12082181811397352
623,0.14377314905602034
624,0.11473294738038808
625,0.13206388159961113
626,0.13277154579912387
627,0.1270734157891591
628,0.12367043304461978
629,0.12291912247858305
630,0.11783309758638205
631,0.12068439230674399
632,0.139298783922007
633,0.13545330518184995
634,0.12557585222730805
635,0.11354877439020672
636,0.11646108071343386
637,0.12745329069709432
638,0.1166275370779335
639,0.11751287464032711
640,0.20276256303035933
641,0.13246320128882016
642,0.11693458295779369
643,0.1266269258869731
644,0.11908705069710146
645,0.12732766592308786
646,0.1047769170864149
647,0.10554356434607493
648,0.10424582686504724
649,0.10892196123004894
650,0.12672175679836228
651,0.12900217785542245
652,0.12513901417517892
653,0.13824556657308207
654,0.13087753337267483
655,0.13291196510663106
656,0.11542260932011972
657,0.11137835028976673
658,0.11182923801815237
659,0.11767072879399465
660,0.12951723353177202
661,0.13028117280072882
662,0.1268164089744468
663,0.14417401356463866
664,0.1298316436697633
665,0.09940090743046837
666,0.10708221374155924
667,0.14944647654798782
668,0.12276778723597159
669,0.11827478673501146
670,0.13690929218084624
671,0.1256777519369795
672,0.11148632278308823
673,0.2240012439005874
674,0.12217521659798869
675,0.1256477929533817
676,0.15373104626845702
677,0.12638502559287623
678,0.13905502950893656
679,0.13123518825267677
680,0.10803961148169972
681,0.12845230572052413
682,0.10567852871506456
683,0.13411267030248752
684,0.14171900169887375
685,0.11613213589676352
686,0.12091549880828967
687,0.11466770152281192
688,0.1044183007949705
689,0.13017171230098068
690,0.12192660450699733
691,0.13092548880636357
692,0.13256272877508257
693,0.12692323191043775
694,0.13534546093563848
695,0.11997028520817321
696,0.12316572605235732
697,0.13992225425999494
698,0.10380054127727845
699,0.12165010975153279
700,0.12376337659920511
701,0.11962340958191564
702,0.12600353177332024
703,0.13065705352838775
704,0.11006749682533157
705,0.12476413744034132
706,0.11242945373591517
707,0.11461620934569694
708,0.13317935888434496
709,0.13795846321737615
710,0.13163594807774381
711,0.14752265798310504
712,0.14764877275253274
713,0.14309883636011167
714,0.12894201965709406
715,0.11165293222704076
716,0.13200470628002758
717,0.12070759014612387
718,0.11965543879928275
719,0.11587602521420648
720,0.09802496164663843
721,0.1126431409473384
722,0.13100550672613487
723,0.1323677375474771
724,0.13614004610999364
725,0.1304469224538718
726,0.1477222828351462
727,0.11670591517240747
728,0.12665243835822781
729,0.11977799443601478
730,0.12037061814143568
731,0.11804004181961103
732,0.12820778599633798
733,0.1273914461390454
734,0.141277104812345
735,0.13883769613163688
736,0.14110746120402318
737,0.13110542547973947
738,0.12888415967967215
739,0.1259360376659493
740,0.1439055607954508
741,0.12196806257972481
742,0.14286756909275922
743,0.15057356887152273
744,0.1331904894260305
745,0.14297962497457617
746,0.20470221060206684
747,0.19897441295940455
748,0.2102889124597671
749,0.19920207537598744
750,0.20722648388262432
751,0.20836316996402582
752,0.17814523200922017
753,0.20221840192984009
754,0.19618241902263278
755,0.16347423916123704
756,0.18589773497055584
757,0.14819357758308704
758,0.17225917649578215
759,0.18909676112167761
760,0.16089453204282267
761,0.14057252578543644
762,0.1502658712312559
763,0.1860824495584129
764,0.1747014070535815
765,0.18836406789576243
766,0.15762739063309428
